Issue Type,Summary,Description,Priority,Labels,Epic Name,Epic Link,Story Points,Sprint,Fix Version
Story,MARK-US-203 Daily check-in trigger,Add daily friendly check-in trigger with copy variants,Medium,"wellbeing,assistant,chat",,MARK-EPIC-02 Wellbeing and Reminder Engine,3,Sprint 10,Release 1.1
Story,MARK-US-204 Medicine reminder flow,Add medicine reminder flow in chat with acknowledgment tracking,High,"wellbeing,reminders,chat",,MARK-EPIC-02 Wellbeing and Reminder Engine,5,Sprint 10,Release 1.1
Story,MARK-US-205 Meeting reminder bridge,Create meeting reminder bridge from calendar events,Medium,"calendar,wellbeing,notifications",,MARK-EPIC-02 Wellbeing and Reminder Engine,5,Sprint 11,Release 1.1
Story,MARK-US-206 Reminder preferences,Add user reminder preferences for frequency and quiet hours,Medium,"wellbeing,preferences,frontend",,MARK-EPIC-02 Wellbeing and Reminder Engine,5,Sprint 11,Release 1.1
Story,MARK-US-301 Break reminder rule,Implement break reminder automation from activity windows,High,"automation,wellbeing,rules",,MARK-EPIC-03 Proactive Automation Rules,5,Sprint 11,Release 1.1
Story,MARK-US-302 Silent employee nudge rule,Implement inactivity-based silent employee nudge rule,High,"automation,engagement,rules",,MARK-EPIC-03 Proactive Automation Rules,8,Sprint 11,Release 1.1
Story,MARK-US-303 Negative sentiment escalation rule,Implement negative sentiment escalation to HR alerts with policy gating,High,"automation,sentiment,hr-alerts",,MARK-EPIC-03 Proactive Automation Rules,8,Sprint 11,Release 1.1
Story,MARK-US-304 Weekly HR summary automation,Generate and dispatch weekly HR summary of top issues and risks,High,"automation,analytics,reporting",,MARK-EPIC-03 Proactive Automation Rules,5,Sprint 12,Release 1.1
Story,MARK-US-305 Automation audit logs,Persist automation action logs with status failures and idempotency key,High,"automation,audit,backend",,MARK-EPIC-03 Proactive Automation Rules,3,Sprint 11,Release 1.1
Story,MARK-US-306 Department policy controls,Add per-department automation policy controls and thresholds,Medium,"automation,governance,hr",,MARK-EPIC-03 Proactive Automation Rules,5,Sprint 12,Release 1.1
Story,MARK-US-401 Wellbeing signal ingestion,Create wellbeing signals ingest pipeline from chat sentiment outputs,High,"wellbeing,analytics,backend",,MARK-EPIC-04 Intelligence and Risk Scoring,8,Sprint 9,Release 1.1
Story,MARK-US-402 Risk snapshot batch job,Compute engagement burnout attrition and silence risk snapshots,High,"analytics,risk,batch",,MARK-EPIC-04 Intelligence and Risk Scoring,8,Sprint 11,Release 1.1
Story,MARK-US-403 Explainable risk reasons,Attach reason codes and recommendations to high risk records,High,"analytics,risk,explainability",,MARK-EPIC-04 Intelligence and Risk Scoring,5,Sprint 11,Release 1.1
Story,MARK-US-404 Risk confidence calibration,Implement confidence scoring and calibration metrics for risk outputs,Medium,"analytics,ml,quality",,MARK-EPIC-04 Intelligence and Risk Scoring,5,Sprint 12,Release 1.1
Story,MARK-US-405 High-risk cohort API,Implement paginated high-risk cohort endpoint for HR dashboard,High,"analytics,api,dashboard",,MARK-EPIC-04 Intelligence and Risk Scoring,5,Sprint 12,Release 1.1
Story,MARK-US-501 Intelligence overview API,Add dashboard API for engagement mood and activity overview cards,High,"dashboard,analytics,backend",,MARK-EPIC-05 HR Dashboard Intelligence Views,5,Sprint 12,Release 1.1
Story,MARK-US-502 Alerts panel API,Add dashboard API for high-risk and unresolved complaint alerts,High,"dashboard,alerts,backend",,MARK-EPIC-05 HR Dashboard Intelligence Views,5,Sprint 12,Release 1.1
Story,MARK-US-503 Trend panel API,Add dashboard API for department sentiment and top issue trends,High,"dashboard,analytics,backend",,MARK-EPIC-05 HR Dashboard Intelligence Views,8,Sprint 12,Release 1.1
Story,MARK-US-504 Employee risk table API,Add API for employee risk table with last active and ticket counts,High,"dashboard,analytics,backend",,MARK-EPIC-05 HR Dashboard Intelligence Views,8,Sprint 12,Release 1.1
Story,MARK-US-505 Dashboard UI implementation,Implement frontend cards charts and employee risk table views,High,"dashboard,frontend,ux",,MARK-EPIC-05 HR Dashboard Intelligence Views,8,Sprint 12,Release 1.1
Story,MARK-US-506 Dashboard CSV export,Add CSV export for filtered HR intelligence views,Medium,"dashboard,export,frontend",,MARK-EPIC-05 HR Dashboard Intelligence Views,3,Sprint 12,Release 1.1
